Geography Code,Geography Name,Specialty Code,Specialty Name,Waiting List,Within 18 Weeks,Within 18 Weeks Rate,Median Wait Weeks,92nd Percentile Wait Weeks,Waits Over 52 Weeks,Waits Over 78 Weeks,Waits Over 65 Weeks,Date,Geography Type,Over 52 Weeks Rate,Region Key
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,C_999,Total,162596,90823,0.558580776894881,14.681240840254,45.5583841714757,7169,46,1125,2024-04-01,ICB,,ICB|QNC
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,C_999,Total,85474,43509,0.509031986335026,17.2541062801932,48.3626586102719,4464,35,397,2024-04-01,ICB,,ICB|QNQ
QNX,NHS SUSSEX INTEGRATED CARE BOARD,C_999,Total,281686,146419,0.519795090987838,16.513010480665,50.2294097807757,19831,522,4779,2024-04-01,ICB,,ICB|QNX
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",C_999,Total,77112,40027,0.51907614897811,16.8184488836663,49.0554325259516,4581,5,934,2024-04-01,ICB,,ICB|QOC
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,C_999,Total,455110,235854,0.518235151941289,16.5288858321871,48.893935483871,26208,92,2734,2024-04-01,ICB,,ICB|QOP
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,206739,125326,0.606203957647082,13.1895881209121,42.2666750156544,5356,20,354,2024-04-01,ICB,,ICB|QOQ
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",C_999,Total,103501,62102,0.600013526439358,13.4895798319328,43.6188720770289,3458,19,350,2024-04-01,ICB,,ICB|QOX
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,C_999,Total,88988,55163,0.61989256978469,12.544094488189,42.1805373134328,2659,13,435,2024-04-01,ICB,,ICB|QPM
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,C_999,Total,79595,53515,0.672341227464037,11.2725483178239,42.4528395061729,2869,10,402,2024-04-01,ICB,,ICB|QR1
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,C_999,Total,197580,116919,0.591755238384452,13.5329968944099,44.7079632465544,7975,155,1239,2024-04-01,ICB,,ICB|QRL
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,C_999,Total,317746,179838,0.565980374261202,14.6150379506641,43.4381211372064,10462,697,2536,2024-04-01,ICB,,ICB|QRV
QSL,NHS SOMERSET INTEGRATED CARE BOARD,C_999,Total,65827,41928,0.636942288118857,11.6572559366755,43.0496,2322,41,491,2024-04-01,ICB,,ICB|QSL
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,C_999,Total,130269,74860,0.574657055784569,14.1812070043777,44.9319409282701,5054,10,504,2024-04-01,ICB,,ICB|QT1
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,C_999,Total,57683,37314,0.64688036336529,11.4952690715553,43.4967335243553,2420,116,648,2024-04-01,ICB,,ICB|QT6
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",C_999,Total,167945,103451,0.615981422489506,12.8187290309848,44.107761732852,6057,80,937,2024-04-01,ICB,,ICB|QU9
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,C_999,Total,191728,106283,0.554342610364683,15.0894760213144,45.0897938788257,6886,23,847,2024-04-01,ICB,,ICB|QUA
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,C_999,Total,117413,64589,0.550100925791863,15.0312269031781,48.3885799701046,6812,55,1286,2024-04-01,ICB,,ICB|QUE
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",C_999,Total,96696,60896,0.629767518821875,11.9350605652759,42.7247819971871,2854,9,248,2024-04-01,ICB,,ICB|QUY
QVV,NHS DORSET INTEGRATED CARE BOARD,C_999,Total,97992,59641,0.608631316842191,13.3025027203482,45.580163132137,4537,54,638,2024-04-01,ICB,,ICB|QVV
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,C_999,Total,188474,125083,0.663661831340132,11.6193465314663,37.2314650638618,2795,37,333,2024-04-01,ICB,,ICB|QWE
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,C_999,Total,246060,158762,0.645216613834024,11.6851468762929,40.3253433208489,5995,34,855,2024-04-01,ICB,,ICB|QWO
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,C_999,Total,118003,66803,0.566112725947645,14.6131790744467,42.6945071770335,3331,28,396,2024-04-01,ICB,,ICB|QWU
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,C_999,Total,154551,95478,0.617776656249393,12.9414346895075,39.8718374558304,3418,76,549,2024-04-01,ICB,,ICB|QXU
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,C_999,Total,367340,209282,0.569722872543148,14.3088630259624,45.0532821497121,14596,144,2324,2024-04-01,ICB,,ICB|QYG
-,NHS ENGLAND,C_999,Total,167772,101965,0.607759340056744,13.708102108768,44.5315130434783,6304,150,954,2024-05-01,Region,,Region|-
Y56,LONDON COMMISSIONING REGION,C_999,Total,1211045,736964,0.608535603549001,13.6956643480311,43.072618763428,39440,1213,8672,2024-05-01,Region,,Region|Y56
Y58,SOUTH WEST COMMISSIONING REGION,C_999,Total,645996,401820,0.622016235394646,12.9226331513341,44.2670338983051,25853,513,4948,2024-05-01,Region,,Region|Y58
Y59,SOUTH EAST COMMISSIONING REGION,C_999,Total,1130659,662200,0.585676141082325,14.4224335904027,45.8336661678683,52834,1316,12262,2024-05-01,Region,,Region|Y59
Y60,MIDLANDS COMMISSIONING REGION,C_999,Total,1443830,818308,0.566762014918654,15.1131868800584,45.1884148727984,55749,215,8112,2024-05-01,Region,,Region|Y60
Y61,EAST OF ENGLAND COMMISSIONING REGION,C_999,Total,927205,513616,0.553940067191182,15.6553219211933,48.1047346251053,53104,904,11561,2024-05-01,Region,,Region|Y61
Y62,NORTH WEST COMMISSIONING REGION,C_999,Total,1065118,596855,0.560365142641473,15.3603885413237,46.9221393098179,50629,187,6426,2024-05-01,Region,,Region|Y62
