Provider Code,Provider Name,Provider Parent Code,Provider Parent Name
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
NVM,EPSOMEDICAL GROUP,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
NVC05,EUXTON HALL HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NVC0Y,EXETER MEDICAL,QJK,NHS DEVON INTEGRATED CARE BOARD
ACM,EYE CARE MEDICAL LTD,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NVG01,FAIRFIELD HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NVC06,FITZWILLIAM HOSPITAL,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD
NVC07,FULWOOD HALL HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
K8I4X,GLENDON WOOD HOSPITAL,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
NT417,GORING HALL HOSPITAL,QNX,NHS SUSSEX INTEGRATED CARE BOARD
NWV01,GP CARE UK,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT418,HAMPSHIRE CLINIC,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
NT419,HARBOUR HOSPITAL,QVV,NHS DORSET INTEGRATED CARE BOARD
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NQTH0,HCRG CARE EAST RIDING LLP,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
NYR,HEALTHSHARE DIAGNOSTICS,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
NRL,HEART NETWORKS,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NT416,HENDON HOSPITAL,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
NWX,HERE,QNX,NHS SUSSEX INTEGRATED CARE BOARD
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NT420,HIGHFIELD HOSPITAL,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
NT448,HUDDERSFIELD HOSPITAL,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT448,HUDDERSFIELD PRIVATE HOSPITAL,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
NXP,INDEPENDENT HEALTH GROUP,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
NV1,INHEALTH LIMITED,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
NCR,ISIGHT,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
R1F,ISLE OF WIGHT NHS TRUST,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
ADP02,KIMS HOSPITAL (NEWNHAM COURT),QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
NT421,KINGS OAK HOSPITAL,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NT449,LANCASTER HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
NT449,LANCASTER PRIVATE HOSPITAL,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
RJ2,LEWISHAM AND GREENWICH NHS TRUST,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
NT450,LINCOLN HOSPITAL,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
NT450,LINCOLN PRIVATE HOSPITAL,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
