Provider Code,Provider Name,Provider Parent Code,Provider Parent Name
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",QVV,NHS DORSET INTEGRATED CARE BOARD
NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",QNX,NHS SUSSEX INTEGRATED CARE BOARD
NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD"
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD
NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",QNX,NHS SUSSEX INTEGRATED CARE BOARD
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",QJK,NHS DEVON INTEGRATED CARE BOARD
NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",QNX,NHS SUSSEX INTEGRATED CARE BOARD
NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
